contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AMZN240705P00255000,AMZN,2024-07-05,255.00,put,0.00,54.95,53.90,164,56.00,166,0,0,2024-07-02,1.11386,-0.99064,0.00125,-0.17422,0.00456,-0.02080
AMZN240705C00260000,AMZN,2024-07-05,260.00,call,0.02,0.01,0.00,0,0.01,92,0,1,2024-07-02,0.98658,0.00197,0.00035,-0.06811,0.00113,0.00003
AMZN240705P00260000,AMZN,2024-07-05,260.00,put,0.00,60.05,59.20,150,60.90,174,0,0,2024-07-02,1.35318,-0.98095,0.00189,-0.55695,0.00842,-0.02106
AMZN240705C00265000,AMZN,2024-07-05,265.00,call,0.01,0.01,0.00,0,0.01,522,2,9,2024-07-02,1.05075,0.00185,0.00031,-0.06880,0.00107,0.00003
AMZN240705P00265000,AMZN,2024-07-05,265.00,put,65.03,65.22,64.60,91,65.85,162,2,0,2024-07-02,1.60135,-0.96875,0.00242,-1.10500,0.01276,-0.02129
AMZN240712C00100000,AMZN,2024-07-12,100.00,call,96.27,99.75,99.00,168,100.50,67,0,22,2024-07-02,0.72955,1.00000,0.00000,-0.05322,0.00000,0.02736
AMZN240712P00100000,AMZN,2024-07-12,100.00,put,0.00,0.01,0.00,0,0.01,251,0,0,2024-07-02,1.37315,-0.00076,0.00006,-0.02169,0.00087,-0.00004
AMZN240712C00105000,AMZN,2024-07-12,105.00,call,83.33,94.78,94.00,150,95.55,73,0,3,2024-07-02,0.69307,1.00000,0.00000,-0.05588,0.00000,0.02873
AMZN240712P00105000,AMZN,2024-07-12,105.00,put,0.00,0.01,0.00,0,0.01,251,0,0,2024-07-02,1.28184,-0.00082,0.00007,-0.02155,0.00093,-0.00005
AMZN240712C00110000,AMZN,2024-07-12,110.00,call,85.17,89.78,89.00,153,90.55,76,0,4,2024-07-02,0.65659,1.00000,0.00000,-0.05854,0.00000,0.03009
AMZN240712P00110000,AMZN,2024-07-12,110.00,put,0.00,0.01,0.00,0,0.01,251,0,0,2024-07-02,1.19465,-0.00088,0.00008,-0.02140,0.00099,-0.00005
AMZN240712C00115000,AMZN,2024-07-12,115.00,call,0.00,85.28,85.00,67,85.55,68,0,0,2024-07-02,1.42605,0.99322,0.00040,-0.22367,0.00627,0.03106
AMZN240712P00115000,AMZN,2024-07-12,115.00,put,0.00,0.01,0.00,0,0.01,251,0,0,2024-07-02,1.11112,-0.00094,0.00009,-0.02123,0.00105,-0.00005
AMZN240712C00120000,AMZN,2024-07-12,120.00,call,0.00,80.28,80.00,65,80.55,57,0,0,2024-07-02,1.31507,0.99310,0.00044,-0.21599,0.00637,0.03242
AMZN240712P00120000,AMZN,2024-07-12,120.00,put,0.00,0.01,0.00,0,0.01,251,0,2361,2024-07-02,1.03109,-0.00101,0.00010,-0.02107,0.00113,-0.00006
AMZN240712C00125000,AMZN,2024-07-12,125.00,call,62.25,74.80,74.05,150,75.55,68,0,27,2024-07-02,0.54716,1.00000,0.00000,-0.06653,0.00000,0.03420
AMZN240712P00125000,AMZN,2024-07-12,125.00,put,0.00,0.01,0.00,0,0.01,100,0,433,2024-07-02,0.95396,-0.00109,0.00012,-0.02086,0.00121,-0.00006
AMZN240712C00130000,AMZN,2024-07-12,130.00,call,68.22,69.82,69.05,168,70.60,74,6,23,2024-07-02,0.51068,1.00000,0.00000,-0.06919,0.00000,0.03556
AMZN240712P00130000,AMZN,2024-07-12,130.00,put,0.00,0.01,0.00,0,0.01,100,0,864,2024-07-02,0.87972,-0.00118,0.00013,-0.02066,0.00130,-0.00007
AMZN240712C00135000,AMZN,2024-07-12,135.00,call,63.12,64.82,64.05,153,65.60,70,2,10,2024-07-02,0.47420,1.00000,0.00000,-0.07185,0.00000,0.03693
AMZN240712P00135000,AMZN,2024-07-12,135.00,put,0.00,0.01,0.00,0,0.01,230,0,27,2024-07-02,0.80808,-0.00128,0.00016,-0.02046,0.00140,-0.00007
AMZN240712C00140000,AMZN,2024-07-12,140.00,call,57.20,60.33,60.10,25,60.55,50,0,16,2024-07-02,0.97621,0.98920,0.00088,-0.24144,0.00944,0.03767
AMZN240712P00140000,AMZN,2024-07-12,140.00,put,0.01,0.01,0.00,0,0.01,200,1,205,2024-07-02,0.73872,-0.00139,0.00019,-0.02022,0.00151,-0.00008
AMZN240712C00145000,AMZN,2024-07-12,145.00,call,53.05,55.33,55.05,57,55.60,63,5,23,2024-07-02,0.88368,0.98875,0.00101,-0.23361,0.00978,0.03902
AMZN240712P00145000,AMZN,2024-07-12,145.00,put,0.01,0.01,0.00,0,0.01,200,1,80,2024-07-02,0.67149,-0.00153,0.00022,-0.01996,0.00164,-0.00009
AMZN240712C00150000,AMZN,2024-07-12,150.00,call,48.10,49.88,49.10,168,50.65,70,7,376,2024-07-02,0.36477,1.00000,0.00000,-0.07983,0.00000,0.04104
AMZN240712P00150000,AMZN,2024-07-12,150.00,put,0.01,0.01,0.00,0,0.01,200,3,78,2024-07-02,0.60610,-0.00168,0.00027,-0.01965,0.00179,-0.00009
AMZN240712C00155000,AMZN,2024-07-12,155.00,call,45.19,44.88,44.10,169,45.65,75,14,43,2024-07-02,0.32830,1.00000,0.00000,-0.08249,0.00000,0.04240
AMZN240712P00155000,AMZN,2024-07-12,155.00,put,0.01,0.02,0.01,10,0.03,24,20,739,2024-07-02,0.58095,-0.00332,0.00052,-0.03485,0.00332,-0.00019
AMZN240712C00160000,AMZN,2024-07-12,160.00,call,37.60,40.38,40.10,54,40.65,75,0,167,2024-07-02,0.66296,0.98221,0.00200,-0.25873,0.01451,0.04276
AMZN240712P00160000,AMZN,2024-07-12,160.00,put,0.04,0.03,0.01,15,0.04,25,14,1030,2024-07-02,0.53857,-0.00517,0.00084,-0.04792,0.00493,-0.00029
AMZN240712C00162500,AMZN,2024-07-12,162.50,call,37.60,37.88,37.60,52,38.15,64,3,1,2024-07-02,0.62073,0.98153,0.00220,-0.25411,0.01498,0.04340
AMZN240712P00162500,AMZN,2024-07-12,162.50,put,0.02,0.03,0.01,194,0.04,224,48,55,2024-07-02,0.50503,-0.00549,0.00094,-0.04736,0.00520,-0.00031
AMZN240712C00165000,AMZN,2024-07-12,165.00,call,35.07,35.38,35.10,51,35.65,59,3,412,2024-07-02,0.57927,0.98075,0.00244,-0.24972,0.01552,0.04405
AMZN240712P00165000,AMZN,2024-07-12,165.00,put,0.01,0.03,0.01,45,0.04,34,114,572,2024-07-02,0.47180,-0.00585,0.00106,-0.04674,0.00550,-0.00033
AMZN240712C00167500,AMZN,2024-07-12,167.50,call,30.48,32.40,31.65,150,33.15,58,11,0,2024-07-02,0.23710,1.00000,0.00000,-0.08915,0.00000,0.04582
AMZN240712P00167500,AMZN,2024-07-12,167.50,put,0.03,0.04,0.02,28,0.05,325,103,109,2024-07-02,0.45427,-0.00786,0.00143,-0.05836,0.00714,-0.00044
